id_ur,nombre_ur,capitulo,id_partida_especifica,partida_descripcion,clave_presupuestal,monto_pendiente,prioridad,suficiencia_presupuestal,numero_contrato,tipo_contrato,importe_min,importe_max,monto_pagado_contrato,proveedor,numero_factura,mes_calendario,monto_factura,esta_facturado,esta_pagado,justificacion,observacion,area_contratante,area_financiera,estatus_workflow
400,Dir. Finanzas,3000,32501,Publicaciones,400-32501-2026,10000.00,Alta,no,C-2026-008,abierto,5000.00,10000.00,10000.00,PubliMás,F-0901,2026-04,10000.00,TRUE,FALSE,Adicional plan,Requiere ampliación,Comunicación,Contabilidad,Pendiente Presup.
200,Dir. Admin.,3000,31401,Instalación Red,200-31401-2026,5000.00,Media,si,C-2026-009,cerrado,25000.00,25000.00,20000.00,Redes MX,F-1001,2026-04,5000.00,TRUE,TRUE,Fase 2 proyecto,Ok,Sistemas,Tesorería,Terminado
200,Dir. Admin.,3000,31401,Instalación Red,200-31401-2026,5000.00,Media,si,C-2026-009,cerrado,25000.00,25000.00,25000.00,Redes MX,F-1002,2026-05,0.00,FALSE,TRUE,Corrección CFDI,Monto cero,Sistemas,Tesorería,Anulado
100,Dir. General,3000,33101,Servicios Legales,100-33101-2026,0.00,Alta,si,C-2026-001,cerrado,150000.00,150000.00,150000.00,LexCorp S.A.,F-1100,2026-05,0.00,FALSE,FALSE,Cierre contrato,Total cubierto,Asuntos Jurídicos,Contabilidad,Terminado
500,Dir. Operac.,2000,27101,Combustibles,500-27101-2026,1000.00,Alta,si,C-2026-010,abierto,20000.00,50000.00,45000.00,Gasolineras,F-1201,2026-05,4000.00,TRUE,TRUE,Carga vehicular,Uso normal,Transportes,Tesorería,Terminado
500,Dir. Operac.,2000,27101,Combustibles,500-27101-2026,1000.00,Alta,si,C-2026-010,abierto,20000.00,50000.00,49000.00,Gasolineras,F-1202,2026-06,4000.00,TRUE,FALSE,Carga vehicular,Pendiente revisar,Transportes,Tesorería,Pendiente Pago
500,Dir. Operac.,2000,27101,Combustibles,500-27101-2026,1000.00,Alta,si,C-2026-010,abierto,20000.00,50000.00,50000.00,Gasolineras,F-1203,2026-06,1000.00,TRUE,FALSE,Gasto final mes,Límite alcanzado,Transportes,Tesorería,Pendiente Pago
100,Dir. General,3000,33301,Desarrollo Sistemas,100-33301-2026,5000.00,Media,si,C-2026-011,cerrado,10000.00,10000.00,0.00,SoftFix,F-1300,2026-06,5000.00,TRUE,FALSE,Primera entrega,Falta liberar pago,Sistemas,Contabilidad,Pendiente Pago
100,Dir. General,3000,33301,Desarrollo Sistemas,100-33301-2026,5000.00,Media,si,C-2026-011,cerrado,10000.00,10000.00,5000.00,SoftFix,F-1301,2026-07,5000.00,TRUE,TRUE,Entrega final,Ok,Sistemas,Contabilidad,Terminado
200,Dir. Admin.,2000,21101,Material Oficina,200-21101-2026,300.00,Baja,no,,abierto,0.00,1000.00,0.00,OfiSuministros,F-1400,2026-07,300.00,TRUE,FALSE,Compra menor,Sin presupuesto,Logística,Contabilidad,Rechazado
200,Dir. Admin.,2000,29101,Herramientas,200-29101-2026,15000.00,Alta,si,C-2026-012,cerrado,15000.00,15000.00,0.00,ToolKing,F-1500,2026-07,15000.00,TRUE,TRUE,Adquisición equipos,Pago anticipado,Mantenimiento,Tesorería,Terminado
300,Dir. Proyectos,3000,33101,Asesoría Técnica,300-33101-2026,20000.00,Alta,si,C-2026-013,abierto,30000.00,50000.00,55000.00,AsesorCorp,F-1600,2026-08,20000.00,TRUE,TRUE,Error Max,Monto pagado excede importe_max,Planeación,Tesorería,Error Detectado
400,Dir. Finanzas,3000,33901,Auditoría,400-33901-2026,30000.00,Alta,si,C-2026-014,cerrado,30000.00,30000.00,0.00,AuditPlus,F-1700,2026-08,15000.00,TRUE,FALSE,50% avance,Falta segunda factura,Auditoría,Contabilidad,Pendiente Pago
400,Dir. Finanzas,3000,33901,Auditoría,400-33901-2026,15000.00,Alta,si,C-2026-014,cerrado,30000.00,30000.00,15000.00,AuditPlus,F-1701,2026-09,15000.00,TRUE,FALSE,Finalización,Retención fiscal,Auditoría,Contabilidad,Pendiente Pago
500,Dir. Operac.,3000,33601,Mantenimiento Edif.,500-33601-2026,100000.00,Media,si,C-2026-015,abierto,80000.00,150000.00,160000.00,Mantenim. Integral,F-1800,2026-09,100000.00,TRUE,FALSE,Error Max 2,Excede límite contratado,Logística,Tesorería,Error Detectado
